circle_3d,confidence,timestamp,diameter_3d,ellipse,location,diameter,sphere,projected_sphere,model_confidence,model_id,model_birth_timestamp,theta,phi,norm_pos,topic,id,method
"{'center': [Decimal('-2.2872970247001474'), 1.015965321926819, 17.43388712102075], 'normal': [Decimal('0.34959755654662605'), -0.8316793479697648, Decimal('-0.43138267306095585')], 'radius': Decimal('1.6135930784024899')}",0.10222323134590779,58353.8989,3.2271861568049798,"{'center': [77.27929611114963, Decimal('158.30326292887423')], 'axes': [Decimal('60.429314458149335'), Decimal('115.79882674913094')], 'angle': -70.8696309182903}","[77.27929611114963, Decimal('158.30326292887423')]",115.79882674913094,"{'center': [-6.48246770325966, Decimal('10.996117497563997'), 22.61047919775222], 'radius': 12.0}","{'center': [-17.75518779896288, 421.5235895207138], 'axes': [658.1019300767083, 658.1019300767083], 'angle': 90.0}",0.7195671802045611,1,58336.256858,0.5886710016056532,-0.8897389642565863,"[0.2414978003473426, 0.3404030711296907]",pupil.1,1,3d c++
"{'center': [-2.121152741401427, Decimal('1.0783897130681108'), Decimal('17.451253733003675')], 'normal': [0.3634429134881861, -0.8264773153746572, Decimal('-0.42993545539571204')], 'radius': Decimal('1.6135889682381472')}",0.09181686780711468,58353.9073,3.2271779364762945,"{'center': [83.27774018480669, 160.4780889322737], 'axes': [60.38196931359108, Decimal('115.54065691989835')], 'angle': -69.49362288760103}","[83.27774018480669, 160.4780889322737]",115.54065691989835,"{'center': [-6.48246770325966, Decimal('10.996117497563997'), 22.61047919775222], 'radius': 12.0}","{'center': [-17.75518779896288, 421.5235895207138], 'axes': [658.1019300767083, 658.1019300767083], 'angle': 90.0}",0.7195671802045611,1,58336.256858,0.5979750134409527,-0.8690121310826355,"[0.2602429380775209, 0.3313412961155263]",pupil.1,1,3d c++
"{'center': [Decimal('-2.3000949196085703'), Decimal('1.0020548895238157'), Decimal('17.450394849105606')], 'normal': [0.3485310653042575, -0.8328385506700151, Decimal('-0.43000702905388444')], 'radius': Decimal('1.6197884621583225')}",0.08795108814535835,58353.9157,3.239576924316645,"{'center': [76.8950462105734, Decimal('157.78070369684093')], 'axes': [Decimal('60.376146497583946'), 116.1491346178457], 'angle': -70.97767157650544}","[76.8950462105734, Decimal('157.78070369684093')]",116.1491346178457,"{'center': [-6.48246770325966, Decimal('10.996117497563997'), 22.61047919775222], 'radius': 12.0}","{'center': [-17.75518779896288, 421.5235895207138], 'axes': [658.1019300767083, 658.1019300767083], 'angle': 90.0}",0.7195671802045611,1,58336.256858,0.5865800359822305,-0.8896711054549669,"[Decimal('0.24029701940804188'), 0.3425804012631628]",pupil.1,1,3d c++
"{'center': [Decimal('-2.1203820156476354'), 1.069810836619446, Decimal('17.468432472291806')], 'normal': [Decimal('0.36350714063433537'), -0.8271922217453792, Decimal('-0.42850389378836784')], 'radius': 1.613231145778721}",0.09201856342206385,58353.9241,3.226462291557442,"{'center': [83.38503601038636, Decimal('160.12403214005514')], 'axes': [60.09088830076256, Decimal('115.40157690715716')], 'angle': -69.49374987289269}","[83.38503601038636, Decimal('160.12403214005514')]",115.40157690715716,"{'center': [-6.48246770325966, Decimal('10.996117497563997'), 22.61047919775222], 'radius': 12.0}","{'center': [-17.75518779896288, 421.5235895207138], 'axes': [658.1019300767083, 658.1019300767083], 'angle': 90.0}",0.7195671802045611,1,58336.256858,0.5967039436332197,-0.8672801385661134,"[Decimal('0.26057823753245735'), 0.3328165327497703]",pupil.1,1,3d c++
"{'center': [Decimal('-2.0168386335327337'), 1.128152177243253, Decimal('17.445073361948324')], 'normal': [0.3721357558105772, -0.822330443360062, -0.4304504863169913], 'radius': Decimal('1.6124538004416036')}",0.09533967791024876,58353.9325,3.224907600883207,"{'center': [86.96447048742414, 162.2637882483229], 'axes': [Decimal('60.572221796442065'), 115.4178918942865], 'angle': -68.61365704757198}","[86.96447048742414, 162.2637882483229]",115.4178918942865,"{'center': [-6.48246770325966, Decimal('10.996117497563997'), 22.61047919775222], 'radius': 12.0}","{'center': [-17.75518779896288, 421.5235895207138], 'axes': [658.1019300767083, 658.1019300767083], 'angle': 90.0}",0.7195671802045611,1,58336.256858,0.6053017374742924,-0.8579292282534595,"[Decimal('0.27176397027320043'), Decimal('0.32390088229865455')]",pupil.1,1,3d c++
"{'center': [Decimal('-1.7899651603190154'), Decimal('1.2577429315828503'), Decimal('17.400442662645474')], 'normal': [Decimal('0.39104187857838707'), -0.8115312138317622, -0.4341697112588954], 'radius': Decimal('1.6121198506599088')}",0.13349946288482287,58353.9409,3.2242397013198176,"{'center': [94.86399867113049, Decimal('167.01762117195358')], 'axes': [61.53698196117265, Decimal('115.53322496558859')], 'angle': -66.6359607782435}","[94.86399867113049, Decimal('167.01762117195358')]",115.53322496558859,"{'center': [-6.48246770325966, Decimal('10.996117497563997'), 22.61047919775222], 'radius': 12.0}","{'center': [-17.75518779896288, 421.5235895207138], 'axes': [658.1019300767083, 658.1019300767083], 'angle': 90.0}",0.7195671802045611,1,58336.256858,0.6240284056770996,-0.8376134146664259,"[Decimal('0.29644999584728277'), 0.3040932451168601]",pupil.1,1,3d c++
"{'center': [Decimal('-2.4216514617811686'), 0.9729896010975985, Decimal('17.409837062013445')], 'normal': [Decimal('0.33840135345654093'), -0.8352606580388665, -0.4333868446448979], 'radius': Decimal('1.6133012308842996')}",0.09494176189551985,58353.949299,3.226602461768599,"{'center': [72.36806450798447, Decimal('156.83426134358803')], 'axes': [60.5991245609581, Decimal('116.06517388014115')], 'angle': -71.97251021377383}","[72.36806450798447, Decimal('156.83426134358803')]",116.06517388014115,"{'center': [-6.48246770325966, Decimal('10.996117497563997'), 22.61047919775222], 'radius': 12.0}","{'center': [-17.75518779896288, 421.5235895207138], 'axes': [658.1019300767083, 658.1019300767083], 'angle': 90.0}",0.7195671802045611,1,58336.256858,0.5821896627027545,-0.9078543381026589,"[Decimal('0.22615020158745147'), 0.3465239110683832]",pupil.1,1,3d c++
"{'center': [Decimal('-2.3729256691095433'), 0.9901392510649103, 17.41509051160559], 'normal': [0.3424618361791764, -0.8338315205415906, -0.4329490571788857], 'radius': Decimal('1.6140366036592777')}",0.08791693635534253,58353.957699,3.2280732073185554,"{'center': [74.13180419932469, Decimal('157.43409558775735')], 'axes': [Decimal('60.620029966202225'), Decimal('116.03578348594075')], 'angle': -71.57309351160109}","[74.13180419932469, Decimal('157.43409558775735')]",116.03578348594075,"{'center': [-6.48246770325966, Decimal('10.996117497563997'), 22.61047919775222], 'radius': 12.0}","{'center': [-17.75518779896288, 421.5235895207138], 'axes': [658.1019300767083, 658.1019300767083], 'angle': 90.0}",0.7195671802045611,1,58336.256858,0.5847836756675346,-0.9015685659810271,"[Decimal('0.23166188812288965'), 0.3440246017176777]",pupil.1,1,3d c++
"{'center': [Decimal('-2.9824589944180167'), Decimal('1.6959951404820828'), Decimal('15.883097598546046')], 'normal': [0.2916673924034702, -0.7750101964234928, -0.560615133267181], 'radius': Decimal('1.6081194233650606')}",0.07052292544803347,58353.966099,3.2162388467301213,"{'center': [Decimal('41.708371101798065'), Decimal('189.45312738339035')], 'axes': [87.17444004666936, 127.5725900854038], 'angle': -77.93433291160521}","[Decimal('41.708371101798065'), Decimal('189.45312738339035')]",127.5725900854038,"{'center': [-6.48246770325966, Decimal('10.996117497563997'), 22.61047919775222], 'radius': 12.0}","{'center': [-17.75518779896288, 421.5235895207138], 'axes': [658.1019300767083, 658.1019300767083], 'angle': 90.0}",0.7195671802045611,1,58336.256858,0.6840650970645281,-1.0910699215161273,"[Decimal('0.13033865969311895'), Decimal('0.21061196923587355')]",pupil.1,1,3d c++
"{'center': [-2.341082368519757, Decimal('1.0008160230086904'), Decimal('17.419826450558105')], 'normal': [Decimal('0.34511544456165855'), -0.8329417895462754, -0.4325543955995095], 'radius': Decimal('1.6084804250966735')}",0.08826835339637658,58353.974499,3.216960850193347,"{'center': [75.30092231070488, Decimal('157.78710887538355')], 'axes': [Decimal('60.381414451588874'), 115.5718546930628], 'angle': -71.31124076037001}","[75.30092231070488, Decimal('157.78710887538355')]",115.5718546930628,"{'center': [-6.48246770325966, Decimal('10.996117497563997'), 22.61047919775222], 'radius': 12.0}","{'center': [-17.75518779896288, 421.5235895207138], 'axes': [658.1019300767083, 658.1019300767083], 'angle': 90.0}",0.7195671802045611,1,58336.256858,0.5863934950881535,-0.8973650235215233,"[Decimal('0.23531538222095275'), 0.3425537130192352]",pupil.1,1,3d c++
"{'center': [Decimal('-2.3841345186168246'), 0.9799909835525487, 17.42580227792663], 'normal': [Decimal('0.34152776538690294'), -0.834677209500954, Decimal('-0.43205640998546596')], 'radius': Decimal('1.6164298190737811')}",0.08437904226174175,58353.982899,3.2328596381475623,"{'center': [73.78329430681448, Decimal('157.05069048874898')], 'axes': [Decimal('60.518599589565206'), Decimal('116.14888891073785')], 'angle': -71.66542242867932}","[73.78329430681448, Decimal('157.05069048874898')]",116.14888891073785,"{'center': [-6.48246770325966, Decimal('10.996117497563997'), 22.61047919775222], 'radius': 12.0}","{'center': [-17.75518779896288, 421.5235895207138], 'axes': [658.1019300767083, 658.1019300767083], 'angle': 90.0}",0.7195671802045611,1,58336.256858,0.5832499059276035,-0.9018932416921743,"[Decimal('0.23057279470879527'), 0.3456221229635459]",pupil.1,1,3d c++
"{'center': [-2.385212653670451, 0.9806756268532002, Decimal('17.423628014902576')], 'normal': [Decimal('0.34143792079910074'), -0.8346201558925664, -0.4322375985708036], 'radius': Decimal('1.6198301827134676')}",0.07716443048604524,58353.991299,3.239660365426935,"{'center': [73.72774237584755, Decimal('157.09005056915686')], 'axes': [60.68147381768031, Decimal('116.41048236426413')], 'angle': -71.67437479647681}","[73.72774237584755, Decimal('157.09005056915686')]",116.41048236426413,"{'center': [-6.48246770325966, Decimal('10.996117497563997'), 22.61047919775222], 'radius': 12.0}","{'center': [-17.75518779896288, 421.5235895207138], 'axes': [658.1019300767083, 658.1019300767083], 'angle': 90.0}",0.7195671802045611,1,58336.256858,0.5833534923495569,-0.902225185068977,"[0.2303991949245236, Decimal('0.34545812262851305')]",pupil.1,1,3d c++
"{'center': [Decimal('-2.0536961210145384'), Decimal('1.1099171267802905'), 17.44820988077406], 'normal': [Decimal('0.36906429852042677'), -0.8238500308986421, Decimal('-0.43018910974818003')], 'radius': 1.613924657183945}",0.10234776616896701,58353.999699,3.22784931436789,"{'center': [85.66400059797813, Decimal('161.60964714278995')], 'axes': [60.53150824171654, Decimal('115.53137282240233')], 'angle': -68.92626210116396}","[85.66400059797813, Decimal('161.60964714278995')]",115.53137282240233,"{'center': [-6.48246770325966, Decimal('10.996117497563997'), 22.61047919775222], 'radius': 12.0}","{'center': [-17.75518779896288, 421.5235895207138], 'axes': [658.1019300767083, 658.1019300767083], 'angle': 90.0}",0.7195671802045611,1,58336.256858,0.6026259803736852,-0.8617269701490224,"[Decimal('0.26770000186868165'), 0.3266264702383752]",pupil.1,1,3d c++
