circle_3d,confidence,timestamp,diameter_3d,ellipse,location,diameter,sphere,projected_sphere,model_confidence,model_id,model_birth_timestamp,theta,phi,norm_pos,topic,id,method
"{'center': [-6.320084937303826, 8.539004757770545, 78.70045554986764], 'normal': [Decimal('-0.12412692526462193'), 0.7229623783241494, -0.6796454266396856], 'radius': 2.146283762148763}",0.9993969746303177,41685.573075,4.292567524297526,"{'center': [Decimal('110.22952981803532'), Decimal('187.07030925087582')], 'axes': [Decimal('19.971197241076492'), Decimal('33.875100300428805')], 'angle': -77.94615941154902}","[Decimal('110.22952981803532'), Decimal('187.07030925087582')]",33.875100300428805,"{'center': [-4.830561834128363, -0.1365437821192469, 86.85620066954387], 'radius': 12.0}","{'center': [Decimal('125.51831286571847'), Decimal('119.02531835077588')], 'axes': [Decimal('171.31764785122212'), Decimal('171.31764785122212')], 'angle': 90.0}",0.9798932720711973,1,41540.935363,2.378876869774132,-1.75144022585194,"[Decimal('0.34446728068136034'), Decimal('0.22054037812135074')]",pupil.1,1,3d c++
"{'center': [-6.339396086491834, 8.54574932604754, 78.71118958405268], 'normal': [Decimal('-0.12573618769695588'), 0.7235244256805656, -0.6787509237909319], 'radius': 2.147235562559302}",0.9996514259308479,41685.581475,4.294471125118604,"{'center': [Decimal('110.08456900249341'), Decimal('187.11433976625312')], 'axes': [Decimal('19.937992780128017'), 33.88548422221817], 'angle': -77.83761381451615}","[Decimal('110.08456900249341'), Decimal('187.11433976625312')]",33.88548422221817,"{'center': [-4.830561834128363, -0.1365437821192469, 86.85620066954387], 'radius': 12.0}","{'center': [Decimal('125.51831286571847'), Decimal('119.02531835077588')], 'axes': [Decimal('171.31764785122212'), Decimal('171.31764785122212')], 'angle': 90.0}",0.9799938007633013,1,41540.935363,2.3796907315598683,-1.7539663607007163,"[0.3440142781327919, Decimal('0.22035691764061194')]",pupil.1,1,3d c++
"{'center': [-6.338976553982094, 8.538114674793151, 78.70298132447245], 'normal': [Decimal('-0.12570122665447753'), 0.7228882047426999, -0.6794349454226181], 'radius': 2.156390886845914}",0.9999662207438219,41685.589875,4.312781773691828,"{'center': [Decimal('110.08289855153399'), Decimal('187.05937020587285')], 'axes': [20.05289275584184, Decimal('34.033557967741274')], 'angle': -77.82697623511737}","[Decimal('110.08289855153399'), Decimal('187.05937020587285')]",34.033557967741274,"{'center': [-4.830561834128363, -0.1365437821192469, 86.85620066954387], 'radius': 12.0}","{'center': [Decimal('125.51831286571847'), Decimal('119.02531835077588')], 'axes': [Decimal('171.31764785122212'), Decimal('171.31764785122212')], 'angle': 90.0}",0.980243197016506,1,41540.935363,2.3787695159338784,-1.7537362925970985,"[0.3440090579735437, Decimal('0.22058595747552978')]",pupil.1,1,3d c++
"{'center': [-6.329462092261523, 8.533849014249903, 78.69669169088355], 'normal': [Decimal('-0.12490835484442998'), 0.7225327330307625, -0.6799590815550263], 'radius': Decimal('2.1485703156480693')}",0.9994270268382313,41685.598274,4.297140631296139,"{'center': [Decimal('110.15356323168396'), Decimal('187.03245663593972')], 'axes': [20.00446995040679, 33.91279846354187], 'angle': -77.87884216940095}","[Decimal('110.15356323168396'), Decimal('187.03245663593972')]",33.91279846354187,"{'center': [-4.830561834128363, -0.1365437821192469, 86.85620066954387], 'radius': 12.0}","{'center': [Decimal('125.51831286571847'), Decimal('119.02531835077588')], 'axes': [Decimal('171.31764785122212'), Decimal('171.31764785122212')], 'angle': 90.0}",0.9801491535119777,1,41540.935363,2.3782551973901356,-1.7524706387368654,"[Decimal('0.34422988509901237'), Decimal('0.22069809735025114')]",pupil.1,1,3d c++
"{'center': [-6.348019494134713, 8.531988776116009, 78.69814541495633], 'normal': [Decimal('-0.12645480500052908'), 0.7223777131862714, -0.679837937882295], 'radius': Decimal('2.1714188146585034')}",0.9996013599538537,41685.606674,4.342837629317007,"{'center': [Decimal('110.00912046675688'), Decimal('187.01237790518013')], 'axes': [Decimal('20.208832618690863'), 34.27291255648267], 'angle': -77.76002217061762}","[Decimal('110.00912046675688'), Decimal('187.01237790518013')]",34.27291255648267,"{'center': [-4.830561834128363, -0.1365437821192469, 86.85620066954387], 'radius': 12.0}","{'center': [Decimal('125.51831286571847'), Decimal('119.02531835077588')], 'axes': [Decimal('171.31764785122212'), Decimal('171.31764785122212')], 'angle': 90.0}",0.9800911557307779,1,41540.935363,2.3780309916119338,-1.75470186299623,"[Decimal('0.34377850145861527'), 0.2207817587284161]",pupil.1,1,3d c++
"{'center': [-6.337796979650395, 8.522035304659557, 78.68568964427135], 'normal': [-0.1256029287935026, 0.721548257231567, -0.6808759187727105], 'radius': Decimal('2.1414987479251772')}",0.9994143059770964,41685.615074,4.2829974958503545,"{'center': [Decimal('110.08108226887299'), Decimal('186.94994056445512')], 'axes': [Decimal('19.976771831913332'), 33.80582498282496], 'angle': -77.8064229600209}","[Decimal('110.08108226887299'), Decimal('186.94994056445512')]",33.80582498282496,"{'center': [-4.830561834128363, -0.1365437821192469, 86.85620066954387], 'radius': 12.0}","{'center': [Decimal('125.51831286571847'), Decimal('119.02531835077588')], 'axes': [Decimal('171.31764785122212'), Decimal('171.31764785122212')], 'angle': 90.0}",0.9799451396269476,1,41540.935363,2.3768322371798005,-1.7532180663388377,"[Decimal('0.34400338209022807'), Decimal('0.22104191431477038')]",pupil.1,1,3d c++
"{'center': [-6.348223201753336, 8.5258711217482, 78.69168770143158], 'normal': [-0.1264717806354144, 0.7218679086556206, -0.6803760806760246], 'radius': 2.160201220767195}",0.9999109222532427,41685.623474,4.32040244153439,"{'center': [Decimal('110.00326983933984'), Decimal('186.97169372396104')], 'axes': [20.12777191574341, 34.09857135779435], 'angle': -77.74810551921016}","[Decimal('110.00326983933984'), Decimal('186.97169372396104')]",34.09857135779435,"{'center': [-4.830561834128363, -0.1365437821192469, 86.85620066954387], 'radius': 12.0}","{'center': [Decimal('125.51831286571847'), Decimal('119.02531835077588')], 'axes': [Decimal('171.31764785122212'), Decimal('171.31764785122212')], 'angle': 90.0}",0.9799445519002692,1,41540.935363,2.377294029392002,-1.7545837741304013,"[0.343760218247937, 0.2209512761501623]",pupil.1,1,3d c++
"{'center': [-6.350655589646692, 8.523689338328094, 78.68982587567473], 'normal': [Decimal('-0.12667447962652736'), 0.7216860933706117, -0.6805312328224276], 'radius': Decimal('2.1627773314926806')}",0.999852856001584,41685.631874,4.325554662985361,"{'center': [Decimal('109.98304372508912'), Decimal('186.95558847079639')], 'axes': [20.15814465141059, 34.14005045527425], 'angle': -77.72914387238569}","[Decimal('109.98304372508912'), Decimal('186.95558847079639')]",34.14005045527425,"{'center': [-4.830561834128363, -0.1365437821192469, 86.85620066954387], 'radius': 12.0}","{'center': [Decimal('125.51831286571847'), Decimal('119.02531835077588')], 'axes': [Decimal('171.31764785122212'), Decimal('171.31764785122212')], 'angle': 90.0}",0.9800005493640573,1,41540.935363,2.3770313382482517,-1.7548307048420868,"[0.3436970116409035, Decimal('0.22101838137168173')]",pupil.1,1,3d c++
"{'center': [-6.342090725015475, 8.52875694688758, 78.69361261869336], 'normal': [Decimal('-0.12596074090725934'), 0.7221083940839021, -0.6802156709042083], 'radius': 2.152543392251941}",0.9996317874779997,41685.640274,4.305086784503882,"{'center': [Decimal('110.05250764771992'), 186.9942268824103], 'axes': [Decimal('20.050453955439277'), 33.97683034040318], 'angle': -77.79133854780585}","[Decimal('110.05250764771992'), 186.9942268824103]",33.97683034040318,"{'center': [-4.830561834128363, -0.1365437821192469, 86.85620066954387], 'radius': 12.0}","{'center': [Decimal('125.51831286571847'), Decimal('119.02531835077588')], 'axes': [Decimal('171.31764785122212'), Decimal('171.31764785122212')], 'angle': 90.0}",0.9799731570254933,1,41540.935363,2.3776415991995683,-1.7538998608007472,"[Decimal('0.34391408639912474'), Decimal('0.22085738798995713')]",pupil.1,1,3d c++
"{'center': [-6.366959519059135, 8.514260810168718, 78.6828866501397], 'normal': [-0.1280331404108976, 0.7209003826906637, -0.6811095016170146], 'radius': Decimal('2.1737995904427425')}",0.999938031915177,41685.648674,4.347599180885485,"{'center': [109.8508176778764, Decimal('186.88509452780218')], 'axes': [20.28349140166263, 34.31708769720917], 'angle': -77.61104009410349}","[109.8508176778764, Decimal('186.88509452780218')]",34.31708769720917,"{'center': [-4.830561834128363, -0.1365437821192469, 86.85620066954387], 'radius': 12.0}","{'center': [Decimal('125.51831286571847'), Decimal('119.02531835077588')], 'axes': [Decimal('171.31764785122212'), Decimal('171.31764785122212')], 'angle': 90.0}",0.9799669715951365,1,41540.935363,2.3758969503851697,-1.7566053483956465,"[Decimal('0.34328380524336377'), Decimal('0.22131210613415753')]",pupil.1,1,3d c++
"{'center': [-6.340713941739748, 8.525452038001834, 78.68985087149568], 'normal': [Decimal('-0.12584600896761539'), 0.7218329850100902, -0.6805291498373495], 'radius': Decimal('2.1472614833840513')}",0.9997061725219634,41685.657074,4.294522966768103,"{'center': [Decimal('110.06087356946593'), Decimal('186.97231735975825')], 'axes': [20.01503766927272, 33.89504094377281], 'angle': -77.7941750398721}","[Decimal('110.06087356946593'), Decimal('186.97231735975825')]",33.89504094377281,"{'center': [-4.830561834128363, -0.1365437821192469, 86.85620066954387], 'radius': 12.0}","{'center': [Decimal('125.51831286571847'), Decimal('119.02531835077588')], 'axes': [Decimal('171.31764785122212'), Decimal('171.31764785122212')], 'angle': 90.0}",0.9802794227737222,1,41540.935363,2.3772435652754593,-1.753654374691796,"[0.343940229904581, 0.220948677667674]",pupil.1,1,3d c++
