circle_3d,confidence,timestamp,diameter_3d,ellipse,location,diameter,sphere,projected_sphere,model_confidence,model_id,model_birth_timestamp,theta,phi,norm_pos,topic,id,method,norm_x,norm_y
"{'center': [6.688483011081642, 0.6163535333747747, 70.83721748645189], 'normal': [Decimal('0.12784605965622747'), 0.5637364932432455, -0.8160003377549452], 'radius': Decimal('2.0903478175310286')}",0.2793489199533329,3047.148689,4.180695635062057,"{'center': [Decimal('218.50138767100054'), Decimal('125.14775359243573')], 'axes': [Decimal('29.137973607799996'), Decimal('36.732251107821575')], 'angle': 70.77839568546246}","[Decimal('218.50138767100054'), Decimal('125.14775359243573')]",36.732251107821575,"{'center': [5.154330295206912, -6.148484385544172, 80.62922153951124], 'radius': 12.0}","{'center': [Decimal('199.63432514925478'), 72.72110723319659], 'axes': [Decimal('184.54847654343607'), Decimal('184.54847654343607')], 'angle': 90.0}",0.7435165334647609,1,3018.882957,2.1696990272433965,-1.4153856893231476,"[0.6828168364718767, 0.4785510266981844]",pupil.1,1,3d c++,0.6828168364718767,0.4785510266981844
"{'center': [6.698087531311296, 0.606538447214124, 70.83195252590906], 'normal': [Decimal('0.12864643634203207'), 0.5629185693965248, -0.8164390844668482], 'radius': 2.105823893544284}",0.25809437240542904,3047.157089,4.211647787088568,"{'center': [Decimal('218.58881834392102'), Decimal('125.05873691158092')], 'axes': [Decimal('29.371516337781205'), 37.0073453514993], 'angle': 70.66617255033124}","[Decimal('218.58881834392102'), Decimal('125.05873691158092')]",37.0073453514993,"{'center': [5.154330295206912, -6.148484385544172, 80.62922153951124], 'radius': 12.0}","{'center': [Decimal('199.63432514925478'), 72.72110723319659], 'axes': [Decimal('184.54847654343607'), Decimal('184.54847654343607')], 'angle': 90.0}",0.7435165334647609,1,3018.882957,2.1687090846310375,-1.4145111483568418,"[0.6830900573247531, 0.4789219295350795]",pupil.1,1,3d c++,0.6830900573247531,0.4789219295350795
"{'center': [6.698710704464558, 0.6049153385464834, 70.83093182557883], 'normal': [0.1286983674381371, 0.5627833103408877, -0.8165241428277], 'radius': Decimal('2.1073291337044524')}",0.24834218511664818,3047.165489,4.214658267408905,"{'center': [Decimal('218.59502456327016'), Decimal('125.04427013421581')], 'axes': [Decimal('29.396332000208528'), 37.03436834593729], 'angle': 70.65541593716823}","[Decimal('218.59502456327016'), Decimal('125.04427013421581')]",37.03436834593729,"{'center': [5.154330295206912, -6.148484385544172, 80.62922153951124], 'radius': 12.0}","{'center': [Decimal('199.63432514925478'), 72.72110723319659], 'axes': [Decimal('184.54847654343607'), Decimal('184.54847654343607')], 'angle': 90.0}",0.7435165334647609,1,3018.882957,2.168545443377205,-1.4144651059441877,"[0.6831094517602192, Decimal('0.47898220777410083')]",pupil.1,1,3d c++,0.6831094517602192,0.47898220777410083
"{'center': [6.699320981464494, 0.603284205734079, 70.82990397810903], 'normal': [Decimal('0.12874922385479856'), 0.5626473826065213, -0.8166097967835175], 'radius': Decimal('2.1070048991251635')}",0.24836475410846676,3047.173889,4.214009798250327,"{'center': [218.6011944148443, Decimal('125.03016860702824')], 'axes': [29.3956464613394, Decimal('37.029234171207534')], 'angle': 70.64474023417314}","[218.6011944148443, Decimal('125.03016860702824')]",37.029234171207534,"{'center': [5.154330295206912, -6.148484385544172, 80.62922153951124], 'radius': 12.0}","{'center': [Decimal('199.63432514925478'), 72.72110723319659], 'axes': [Decimal('184.54847654343607'), Decimal('184.54847654343607')], 'angle': 90.0}",0.7435165334647609,1,3018.882957,2.1683810114970155,-1.414420470100291,"[0.6831287325463884, 0.4790409641373823]",pupil.1,1,3d c++,0.6831287325463884,0.4790409641373823
"{'center': [6.69991835803554, 0.6016450461875102, 70.82886898488795], 'normal': [Decimal('0.12879900523571908'), 0.5625107859776406, -0.8166960462186078], 'radius': 2.112488031958726}",0.2762853285451858,3047.182289,4.224976063917452,"{'center': [Decimal('218.60703452500135'), Decimal('125.01461358508709')], 'axes': [Decimal('29.476070671969204'), 37.12619639889249], 'angle': 70.63410862709401}","[Decimal('218.60703452500135'), Decimal('125.01461358508709')]",37.12619639889249,"{'center': [5.154330295206912, -6.148484385544172, 80.62922153951124], 'radius': 12.0}","{'center': [Decimal('199.63432514925478'), 72.72110723319659], 'axes': [Decimal('184.54847654343607'), Decimal('184.54847654343607')], 'angle': 90.0}",0.7435165334647609,1,3018.882957,2.1682157889904747,-1.414377240825154,"[0.6831469828906293, Decimal('0.47910577672880383')]",pupil.1,1,3d c++,0.6831469828906293,0.47910577672880383
"{'center': [6.700502829847367, 0.5999978573057421, 70.82782684737364], 'normal': [Decimal('0.12884771122003788'), 0.5623735202374928, -0.8167828910114658], 'radius': Decimal('2.1081697479691424')}",0.26728776824806827,3047.190689,4.216339495938285,"{'center': [Decimal('218.61314497602604'), 125.0013237520426], 'axes': [29.41968742297774, 37.05085430330012], 'angle': 70.6235964508913}","[Decimal('218.61314497602604'), 125.0013237520426]",37.05085430330012,"{'center': [5.154330295206912, -6.148484385544172, 80.62922153951124], 'radius': 12.0}","{'center': [Decimal('199.63432514925478'), 72.72110723319659], 'axes': [Decimal('184.54847654343607'), Decimal('184.54847654343607')], 'angle': 90.0}",0.7435165334647609,1,3018.882957,2.168049775857566,-1.414335418118773,"[0.6831660780500813, 0.4791611510331558]",pupil.1,1,3d c++,0.6831660780500813,0.4791611510331558
"{'center': [6.701074392514732, 0.598342636476616, 70.82677756709428], 'normal': [Decimal('0.12889534144231835'), 0.5622355851683991, -0.8168703310347462], 'radius': 2.112362575585272}",0.18100199512703413,3047.199089,4.224725151170544,"{'center': [Decimal('218.61882124542691'), Decimal('124.98593581920983')], 'axes': [29.48217883284136, 37.12514270656853], 'angle': 70.61311532012259}","[Decimal('218.61882124542691'), Decimal('124.98593581920983')]",37.12514270656853,"{'center': [5.154330295206912, -6.148484385544172, 80.62922153951124], 'radius': 12.0}","{'center': [Decimal('199.63432514925478'), 72.72110723319659], 'axes': [Decimal('184.54847654343607'), Decimal('184.54847654343607')], 'angle': 90.0}",0.7435165334647609,1,3018.882957,2.167882972098298,-1.4142950019811498,"[0.6831838163919591, 0.4792252674199591]",pupil.1,1,3d c++,0.6831838163919591,0.4792252674199591
"{'center': [6.701633041597603, 0.5966793810766697, 70.82572114564798], 'normal': [Decimal('0.12894189553255758'), 0.562096980551737, -0.8169583661552717], 'radius': Decimal('2.1075805640361005')}",0.2673278602857608,3047.207489,4.215161128072201,"{'center': [Decimal('218.62473665061341'), Decimal('124.97261576068321')], 'axes': [29.41936635489252, 37.04165261846354], 'angle': 70.60274970392712}","[Decimal('218.62473665061341'), Decimal('124.97261576068321')]",37.04165261846354,"{'center': [5.154330295206912, -6.148484385544172, 80.62922153951124], 'radius': 12.0}","{'center': [Decimal('199.63432514925478'), 72.72110723319659], 'axes': [Decimal('184.54847654343607'), Decimal('184.54847654343607')], 'angle': 90.0}",0.7435165334647609,1,3018.882957,2.1677153777126814,-1.4142559924122862,"[0.6832023020331669, 0.47928076766382]",pupil.1,1,3d c++,0.6832023020331669,0.47928076766382
"{'center': [6.702178708402335, 0.5950082879126262, 70.8246577117419], 'normal': [0.1289873677662853, 0.5619577227880668, -0.8170469856474444], 'radius': 2.11359341910952}",0.21895142127121472,3047.215888,4.22718683821904,"{'center': [218.6301284664053, 124.9566555963019], 'axes': [Decimal('29.507359730934425'), 37.1479480709947], 'angle': 70.59240531399759}","[218.6301284664053, 124.9566555963019]",37.1479480709947,"{'center': [5.154330295206912, -6.148484385544172, 80.62922153951124], 'radius': 12.0}","{'center': [Decimal('199.63432514925478'), 72.72110723319659], 'axes': [Decimal('184.54847654343607'), Decimal('184.54847654343607')], 'angle': 90.0}",0.7435165334647609,1,3018.882957,2.167547012793583,-1.4142183938050108,"[0.6832191514575165, 0.4793472683487421]",pupil.1,1,3d c++,0.6832191514575165,0.4793472683487421
"{'center': [6.702711518315967, 0.5933289564120692, 70.82358701388546], 'normal': [0.1290317685924212, 0.5618177784963532, -0.8171362104688144], 'radius': Decimal('2.0978167277605055')}",0.374034016175462,3047.224288,4.195633455521011,"{'center': [Decimal('218.63625413109676'), Decimal('124.94580568243293')], 'axes': [Decimal('29.290991632695235'), 36.8711626024925], 'angle': 70.58223709970098}","[Decimal('218.63625413109676'), Decimal('124.94580568243293')]",36.8711626024925,"{'center': [5.154330295206912, -6.148484385544172, 80.62922153951124], 'radius': 12.0}","{'center': [Decimal('199.63432514925478'), 72.72110723319659], 'axes': [Decimal('184.54847654343607'), Decimal('184.54847654343607')], 'angle': 90.0}",0.7435165334647609,1,3018.882957,2.1673778372493677,-1.4141821972062143,"[0.6832382941596774, Decimal('0.47939247632319615')]",pupil.1,1,3d c++,0.6832382941596774,0.47939247632319615
